Comment,Designator,Footprint,LCSC
LED,"LED1,LED2",custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
22u,"C3,C4,C6,C7",custom:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
0u1,"C2,C5",custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10u,C1,custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Conn_01x01,"J2,J4,J6",custom:PinHeader_1x01_P2.54mm_simple_square,
1K,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22K,R5,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25768
47u,C8,custom:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
XB5350D0,U2,custom:SOT-23-5_simple,C2760002
Battery_Cell,BT1,custom:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical_simple_pad2gnd,
5K1,RN1,Resistor_SMD:R_Array_Convex_4x0603,
TP5400_C2891434,U1,custom:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias_CustomVias_Large,C2891434
0R3,R0,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_01x01,"J1,J3,J5",custom:PinHeader_1x01_P2.54mm_simple,
USB_C_Receptacle_PowerOnly_6P,J0,custom:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal_handsolder,
22K,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
USB_C_Receptacle_PowerOnly_6P,J7,custom:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal_handsolder,
1K1,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
0.1uF,C0,custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1525
100R,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10u,L2,custom:Inductor_Multi_7.0x6.6_plus,
SS34,D3,Diode_SMD:D_SMA,
