Comment,Designator,Footprint,LCSC
Conn_01x03,"J1,J3",custom:PinHeader_1x01_P2.54mm_simple,
100K,R0,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
3K,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22u,"C4,C5",custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783
Conn_01x02,"J5,J6",custom:JST_XH_S2B-XH-2AW_1x02_P2.50mm_pad2gnd_trim2,
SW_DIP_x04,SW1,custom:SW_DIP_SPSTx04_Slide_P1.27mm_simple,
10K,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10u,C1,custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
Conn_01x03,"J2,J4",custom:PinHeader_1x01_P2.54mm_simple_square,
100R,R8,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
TPS54202DDCR,U1,custom:SOT-23-6_Handsoldering_simple,C191884
5K1,RN1,Resistor_SMD:R_Array_Convex_4x0603,
15u,L1,custom:Inductor_Multi_7.0x6.6_plus,
0u1,"C2,C3",custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
12K,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1K,R10,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D1,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
1K8,R6,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
