Designator,Mid X,Mid Y,Layer,Rotation
C1,124.21,-146.43,T,270.00
C2,126.49,-146.43,T,270.00
C3,130.81,-141.29,T,180.00
C4,128.78,-137.29,T,270.00
C5,130.81,-137.29,T,270.00
D1,132.45,-147.07,T,0.00
J1,114.30,-134.62,B,180.00
J2,147.32,-147.32,B,180.00
J3,147.32,-134.62,B,180.00
J4,114.30,-147.32,B,180.00
J5,119.38,-140.99,T,270.00
J6,142.24,-140.99,T,90.00
L1,124.22,-140.05,T,90.00
R0,132.84,-137.29,T,270.00
R1,139.19,-144.53,B,270.00
R2,139.19,-140.72,B,270.00
R4,137.16,-144.53,B,270.00
R6,135.13,-144.53,B,270.00
R8,133.10,-144.53,B,270.00
R10,141.60,-147.07,T,180.00
RN1,135.38,-140.72,B,270.00
SW1,137.03,-142.37,T,270.00
U1,130.22,-144.27,T,270.00
