Designator,Mid X,Mid Y,Layer,Rotation
BT1,143.51,-99.04,T,0.00
C1,115.81,-79.45,T,90.00
C2,122.16,-87.07,T,270.00
C6,117.84,-79.45,T,90.00
C7,120.13,-87.07,T,270.00
C9,181.86,-85.96,T,90.00
C10,160.27,-77.98,T,90.00
C11,168.91,-77.70,T,90.00
D1,139.73,-86.36,T,180.00
D2,168.12,-82.33,T,270.00
J1,91.93,-104.28,T,270.00
J2,195.07,-104.28,T,90.00
J3,96.57,-91.76,T,0.00
J4,109.22,-78.74,T,180.00
J5,114.30,-76.20,T,270.00
J6,190.45,-91.76,T,180.00
J7,182.88,-78.74,T,180.00
J8,187.96,-76.20,T,270.00
J9,134.62,-76.20,T,270.00
J10,141.01,-81.28,T,180.00
J11,99.06,-76.20,T,0.00
J12,172.72,-76.20,T,0.00
L1,126.23,-83.03,T,270.00
L2,161.85,-83.57,T,0.00
LED1,106.91,-114.31,T,90.00
LED2,109.86,-114.31,T,270.00
LED3,112.81,-114.31,T,90.00
LED4,115.76,-114.31,T,270.00
LED5,131.29,-113.14,T,0.00
LED6,180.37,-114.30,T,90.00
Q1,145.62,-86.36,T,180.00
Q2,152.48,-83.82,T,180.00
Q3,152.48,-76.77,T,180.00
R1,119.11,-87.10,T,270.00
R2,116.57,-87.10,T,180.00
R3,116.83,-79.48,T,90.00
R4,121.15,-87.10,T,270.00
R5,176.02,-86.34,T,90.00
R6,135.38,-86.36,T,270.00
R7,149.86,-83.82,T,90.00
R8,167.64,-77.73,T,90.00
R9,166.37,-77.73,T,270.00
R10,187.23,-104.28,T,270.00
R11,98.08,-104.78,T,0.00
R12,98.08,-103.78,T,0.00
R13,189.01,-104.78,T,0.00
R14,189.01,-103.78,T,0.00
R15,149.77,-76.85,T,90.00
R16,155.11,-76.85,T,270.00
R17,127.00,-76.20,T,90.00
SW1,122.21,-113.15,T,0.00
SW2,174.04,-113.15,T,0.00
U1,118.92,-83.16,T,0.00
U2,179.20,-86.43,T,0.00
U3,163.44,-78.17,T,90.00
