Designator,Mid X,Mid Y,Layer,Rotation
BT1,139.70,-101.60,T,270.00
C1,130.94,-111.27,T,270.00
C2,134.37,-111.27,T,90.00
C3,139.70,-108.99,T,90.00
D3,133.86,-100.42,T,270.00
J0,121.46,-102.87,T,270.00
J1,121.92,-93.98,B,180.00
J2,121.92,-111.76,B,180.00
J3,142.24,-93.98,B,270.00
J4,142.24,-111.76,B,270.00
J5,137.16,-93.98,B,270.00
J6,137.16,-111.76,B,180.00
LED1,128.27,-94.50,T,90.00
LED2,130.56,-94.50,T,90.00
Q1,133.86,-94.41,T,270.00
R1,128.14,-111.27,T,270.00
R2,139.70,-96.76,T,270.00
RN1,125.34,-94.50,T,270.00
RN2,125.34,-111.27,T,0.00
U1,129.10,-102.44,T,0.00
U2,133.67,-107.18,T,180.00
