Designator,Mid X,Mid Y,Layer,Rotation
C1,111.25,-157.00,T,270.00
C2,117.75,-153.73,T,90.00
C3,116.80,-158.45,T,90.00
C4,107.00,-140.56,T,90.00
C5,128.25,-138.00,T,180.00
C6,137.75,-143.50,T,0.00
C7,116.25,-150.75,T,270.00
C8,118.75,-150.75,T,90.00
C9,121.50,-150.75,T,90.00
C10,123.25,-160.75,T,270.00
D1,134.00,-143.50,T,180.00
J1,113.50,-134.95,T,180.00
J100,103.50,-150.00,T,270.00
J101,108.00,-150.00,B,90.00
J200,136.50,-150.00,T,90.00
J201,132.00,-150.00,B,270.00
J300,122.00,-138.00,T,180.00
J301,129.25,-133.50,T,180.00
J400,118.25,-166.50,T,0.00
J500,126.00,-166.50,B,180.00
L1,114.05,-157.00,T,270.00
L2,128.25,-143.50,T,270.00
LED1,108.75,-168.40,T,180.00
LED2,112.25,-168.40,T,180.00
LED3,101.50,-157.25,T,90.00
LED4,116.75,-132.00,T,270.00
LED5,138.50,-157.25,T,90.00
Q1,110.75,-162.25,T,0.00
Q2,124.75,-150.00,T,0.00
R1,120.25,-162.00,T,270.00
R2,121.35,-162.00,T,270.00
R3,131.00,-153.25,T,270.00
R4,123.00,-156.50,T,90.00
R5,124.75,-156.50,T,90.00
R6,113.75,-165.50,T,270.00
R7,112.00,-165.50,T,90.00
R8,116.00,-140.25,T,270.00
R9,117.00,-140.25,T,270.00
R10,127.25,-150.00,T,270.00
R11,116.75,-136.50,T,270.00
R12,108.00,-140.56,T,90.00
R13,110.75,-165.50,T,90.00
R24,136.50,-141.25,T,90.00
R25,136.50,-139.25,T,90.00
R27,116.25,-149.25,T,0.00
R28,116.25,-152.25,T,0.00
R29,118.75,-152.25,T,0.00
R30,118.75,-149.25,T,0.00
R31,121.50,-152.25,T,0.00
R32,121.50,-149.25,T,0.00
R102,110.25,-144.00,T,90.00
R103,104.00,-156.50,T,270.00
R104,105.00,-156.50,T,270.00
R201,130.00,-151.00,T,0.00
R202,130.00,-149.25,T,0.00
RN1,109.00,-165.50,T,0.00
SR1,115.00,-150.00,B,270.00
SR2,119.95,-150.00,B,270.00
SR3,125.00,-150.00,B,270.00
SW1,127.75,-167.00,T,0.00
U1,120.00,-158.00,T,0.00
U2,104.75,-141.50,T,270.00
U3,122.00,-144.00,T,0.00
U4,116.75,-144.50,T,180.00
U5,134.00,-140.00,T,0.00
U101,111.10,-150.00,T,270.00
