Comment,Designator,Footprint,LCSC
Pin Headers,J10,custom:PinHeader_1x03_P2.54mm_Vertical_simple_pad2gnd,
LED,"LED0,LED1",custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
1N4148WS,"D1,D3",custom:D_SOD-323_HandSoldering_simple,
JST XH/PH,J2,custom:Conn_Combo_JST-1x03-XH_PH-THT_pad2gnd,
Relay_SPDT,K1,Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C,
P3.5,J1,custom:Conn_Combo_TerminalBlock_P3.5_JST-XH_PH_1x03,
JST SH,J0,connectors:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,
100R,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
BSS138,Q1,custom:SOT-23_simple,
SW_SPDT_MountingPin,SW0,lcsc:SW-SMD_3P-P1.50_L2.7-W6.6,
Test Button,SW1,lcsc:SW-SMD_BZCN_TSA002A35XXX,
10K,RN1,Resistor_SMD:R_Array_Convex_4x0603,
