Designator,Mid X,Mid Y,Layer,Rotation
D1,108.50,-99.00,T,90.00
D2,131.50,-79.00,T,270.00
D3,123.25,-88.75,B,90.00
D4,116.75,-91.25,B,270.00
J0,120.00,-106.50,B,180.00
J1,135.81,-94.00,T,90.00
J2,104.19,-84.00,T,270.00
J10,112.38,-72.00,T,90.00
K1,111.50,-98.00,T,0.00
K2,128.50,-82.00,T,180.00
LED0,115.00,-108.50,T,180.00
LED1,120.00,-108.50,T,0.00
LED2,125.00,-108.50,T,180.00
Q1,120.00,-90.00,B,270.00
R0,113.00,-108.50,B,0.00
R1,133.50,-79.00,T,90.00
R2,106.50,-99.00,T,270.00
RN1,120.00,-94.00,B,180.00
SW0,127.20,-72.60,B,0.00
SW1,138.00,-100.00,T,270.00
SW2,102.00,-100.00,T,90.00
