Designator,Mid X,Mid Y,Layer,Rotation
J0,161.12,-77.00,B,270.00
J2,153.50,-95.00,B,90.00
J3,186.50,-95.00,B,270.00
LED1,155.00,-95.00,T,180.00
LED2,155.13,-93.04,T,172.50
LED3,155.51,-91.12,T,165.00
LED4,156.14,-89.26,T,157.50
LED5,157.01,-87.50,T,150.00
LED6,158.10,-85.87,T,142.50
LED7,159.39,-84.39,T,135.00
LED8,160.87,-83.10,T,127.50
LED9,162.50,-82.01,T,120.00
LED10,164.26,-81.14,T,112.50
LED11,166.12,-80.51,T,105.00
LED12,168.04,-80.13,T,97.50
LED13,170.00,-80.00,T,90.00
LED14,171.96,-80.13,T,82.50
LED15,173.88,-80.51,T,75.00
LED16,175.74,-81.14,T,67.50
LED17,177.50,-82.01,T,60.00
LED18,179.13,-83.10,T,52.50
LED19,180.61,-84.39,T,45.00
LED20,181.90,-85.87,T,37.50
LED21,182.99,-87.50,T,30.00
LED22,183.86,-89.26,T,22.50
LED23,184.49,-91.12,T,15.00
LED24,184.87,-93.04,T,7.50
LED25,185.00,-95.00,T,0.00
LED26,184.87,-96.96,T,352.50
LED27,184.49,-98.88,T,345.00
LED28,183.86,-100.74,T,337.50
LED29,182.99,-102.50,T,330.00
LED30,181.90,-104.13,T,322.50
LED31,180.61,-105.61,T,315.00
LED32,179.13,-106.90,T,307.50
LED33,177.50,-107.99,T,300.00
LED34,175.74,-108.86,T,292.50
LED35,173.88,-109.49,T,285.00
LED36,171.96,-109.87,T,277.50
LED37,170.00,-110.00,T,270.00
LED38,168.04,-109.87,T,262.50
LED39,166.12,-109.49,T,255.00
LED40,164.26,-108.86,T,247.50
LED41,162.50,-107.99,T,240.00
LED42,160.87,-106.90,T,232.50
LED43,159.39,-105.61,T,225.00
LED44,158.10,-104.13,T,217.50
LED45,157.01,-102.50,T,210.00
LED46,156.14,-100.74,T,202.50
LED47,155.51,-98.88,T,195.00
LED48,155.13,-96.96,T,187.50
R1,168.00,-113.00,B,180.00
R2,172.00,-113.00,B,0.00
RN1,152.00,-86.00,B,0.00
RN2,161.25,-80.50,B,270.00
RN3,168.00,-80.50,B,270.00
RN4,172.00,-80.50,B,270.00
RN5,178.75,-80.50,B,270.00
RN6,188.00,-86.00,B,180.00
RN7,188.00,-104.00,B,180.00
RN8,178.75,-109.50,B,90.00
RN9,172.00,-109.50,B,90.00
RN10,168.00,-109.50,B,90.00
RN11,161.25,-109.50,B,90.00
RN12,152.00,-104.00,B,0.00
U1,159.00,-86.00,B,270.00
U2,170.00,-86.00,B,270.00
U3,181.00,-86.00,B,270.00
U4,181.00,-104.00,B,90.00
U5,170.00,-104.00,B,90.00
U6,159.00,-104.00,B,90.00
