Designator,Mid X,Mid Y,Layer,Rotation
C0,112.25,-64.50,T,270.00
C1,88.28,-54.25,T,180.00
C2,88.28,-55.75,T,180.00
C3,88.28,-57.00,T,180.00
C4,88.28,-61.50,T,0.00
C5,84.25,-61.00,T,0.00
C6,81.25,-58.50,T,90.00
C7,81.25,-68.00,T,270.00
D1,107.25,-56.75,T,0.00
F1,111.50,-56.00,T,90.00
J0,100.00,-57.00,T,0.00
J1,92.75,-84.75,T,0.00
J2,107.25,-84.75,T,0.00
J3,107.25,-84.75,B,180.00
J4,92.75,-84.75,B,180.00
J5,85.25,-75.75,T,270.00
J6,114.75,-75.75,T,90.00
J7,83.75,-76.75,B,90.00
J8,116.50,-77.25,B,270.00
L1,87.25,-65.75,T,180.00
LED1,100.00,-88.00,T,90.00
Q1,95.00,-76.00,T,180.00
Q2,101.50,-76.00,T,180.00
Q3,108.00,-76.00,T,180.00
Q4,105.00,-76.00,B,0.00
Q5,98.50,-76.00,B,0.00
Q6,92.00,-76.00,B,0.00
R1,84.28,-59.16,T,180.00
R2,84.28,-57.41,T,0.00
R3,93.75,-58.50,T,180.00
R4,100.00,-85.75,T,270.00
SM1,100.00,-59.00,B,180.00
SW1,100.00,-71.00,T,0.00
U1,88.37,-59.25,T,180.00
U2,93.75,-56.75,T,0.00
U3,94.50,-66.25,T,90.00
U4,98.25,-66.25,T,90.00
U5,102.00,-66.25,T,90.00
U6,105.75,-66.25,T,90.00
U7,91.75,-75.75,T,270.00
U8,98.25,-75.75,T,270.00
U9,104.75,-75.75,T,270.00
U10,108.25,-76.00,B,270.00
U11,101.75,-76.00,B,270.00
U12,95.25,-76.00,B,270.00
