Comment,Designator,Footprint,LCSC
LED,LED1,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
JST XH,J2,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Barrel_Jack_Switch,J1,Connector_BarrelJack:BarrelJack_CLIFF_FC681465S_SMT_Horizontal,
10K,"R1,R2,R3,R4,R5",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
JST XH,J3,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
JST XH,J4,"custom:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
BSS138,"Q1,Q2,Q3,Q4",Package_TO_SOT_SMD:SOT-23,
SS34,D1,custom:D_SMA_simple,
~,SM1,modules:ESP32-C3-Super-Mini-Pins,
~,SM2,modules:AHT20+BMP280-noholes,
Relay_SPDT,K1,Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C,
~,SM3,modules:ENS160+AHT2x-noholes,
