Designator,Mid X,Mid Y,Layer,Rotation
D1,200.60,-101.90,T,270.00
J1,130.10,-106.90,T,90.00
J2,192.60,-88.40,T,0.00
J3,178.60,-88.40,T,0.00
J4,132.60,-90.50,T,180.00
K1,194.75,-101.95,T,180.00
LED1,100.10,-87.90,T,0.00
Q1,191.66,-112.84,T,0.00
Q2,142.66,-110.90,T,0.00
Q3,151.66,-110.90,T,0.00
Q4,147.16,-110.90,T,0.00
R1,187.10,-112.90,T,90.00
R2,104.60,-87.90,T,0.00
R3,142.60,-106.90,T,180.00
R4,147.10,-106.90,T,180.00
R5,151.60,-106.90,T,180.00
SM1,106.48,-100.52,T,90.00
SM2,145.94,-95.40,T,270.00
SM3,165.02,-99.90,T,270.00
