Comment,Designator,Footprint,LCSC
SW_DPDT_x2,SW1,lcsc:SW-TH_6P-L7.0-W7.0-P2.00_90deg,
Conn_02x02_Counter_Clockwise,"JLEFT2,JRIGHT2",custom:PinHeader_2x02_P2.54mm_Vertical_simple,
AO3401A,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C15127
Conn_01x02,"JLEFT0,JLEFT1,JRIGHT0,JRIGHT1",custom:PinHeader_1x02_P2.54mm_Vertical_simple_pad2gnd,
10K,"R1,R2",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
BAT60A,D2,custom:D_SOD-323_HandSoldering_simple,
1000uF,C1,Capacitor_SMD:CP_Elec_8x10.5,
Polyfuse,F1,custom:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder_simple,
22uF,"C2,C3",custom:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
ME6211C33M5,U2,custom:SOT-23-5_HandSoldering_simple,
LED,D3,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
2K2,R6,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
AMS1117-5.0,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
USB_C_Receptacle_PowerOnly_6P,J0,custom:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal_handsolder,
5K1,RN1,Resistor_SMD:R_Array_Convex_4x0603,
Conn_01x02,J2,custom:JST_XH_S2B-XH-2AW_1x02_P2.50mm_TH-or-SMD_pad2gnd_trim,
Barrel_Jack_Switch,J1,custom:DC-IN_DC-050-2.0-BB_rev2,
SS34,D1,custom:D_SMA_simple,
