Designator,Mid X,Mid Y,Layer,Rotation
D1,138.94,-78.74,T,180.00
D2,138.94,-81.28,T,180.00
D3,138.94,-83.82,T,180.00
D4,138.94,-86.36,T,180.00
D5,138.90,-88.90,T,180.00
D6,138.90,-91.44,T,180.00
D7,138.90,-93.98,T,180.00
D8,138.90,-96.52,T,180.00
J1,132.08,-78.74,B,180.00
J2,144.78,-86.36,B,270.00
Q1,146.89,-79.25,T,0.00
Q2,142.92,-79.25,T,0.00
Q3,146.89,-83.63,T,0.00
Q4,142.92,-83.63,T,0.00
Q5,146.89,-90.49,T,0.00
Q6,142.92,-90.49,T,0.00
Q7,146.89,-94.42,T,0.00
Q8,142.92,-94.42,T,0.00
RN1,135.50,-85.02,T,180.00
RN2,135.50,-80.08,T,180.00
RN3,135.50,-90.10,T,180.00
RN4,135.50,-95.18,T,180.00
