Designator,Mid X,Mid Y,Layer,Rotation
C0,152.00,-94.50,T,270.00
C1,155.00,-94.50,T,90.00
C2,155.40,-98.75,T,90.00
D1,162.00,-102.25,T,180.00
D2,162.00,-93.75,T,180.00
D3,164.75,-102.25,T,180.00
D4,164.75,-93.75,T,180.00
J1,152.00,-104.35,B,270.00
J2,152.00,-91.65,B,270.00
LED1,166.15,-97.00,T,0.00
LED2,168.15,-97.00,T,0.00
LED3,170.15,-97.00,T,0.00
LED4,172.15,-97.00,T,0.00
Q1,153.82,-98.67,T,90.00
Q2,169.75,-94.50,T,90.00
Q3,169.75,-101.50,T,90.00
R1,153.82,-101.17,T,90.00
R2,152.32,-101.17,T,270.00
R3,152.32,-98.67,T,90.00
R4,162.00,-95.01,T,0.00
R5,164.75,-95.00,T,0.00
R6,165.90,-99.00,T,0.00
R7,169.15,-99.00,T,0.00
R8,172.40,-99.00,T,0.00
R12,162.00,-101.00,T,0.00
R14,164.75,-101.00,T,0.00
RN1,162.15,-98.00,T,180.00
U1,158.15,-98.00,T,180.00
U4,158.50,-101.50,T,90.00
U5,153.50,-94.50,T,180.00
