Designator,Mid X,Mid Y,Layer,Rotation
J1,134.61,-76.20,B,270.00
J2,104.14,-76.20,B,180.00
J5,134.62,-93.98,B,270.00
LED1,107.19,-90.48,T,90.00
LED2,109.22,-90.48,T,90.00
LED3,111.25,-90.48,T,90.00
LED4,113.28,-90.48,T,90.00
LED5,115.32,-90.48,T,90.00
LED6,117.35,-90.49,T,90.00
LED7,119.38,-90.48,T,90.00
LED8,121.41,-90.48,T,90.00
LED9,123.44,-90.49,T,90.00
LED10,125.48,-90.49,T,90.00
LED11,127.51,-90.49,T,90.00
LED12,129.54,-90.49,T,90.00
LED13,131.57,-90.49,T,90.00
LED14,133.60,-90.49,T,90.00
LED15,135.64,-90.49,T,90.00
LED16,137.67,-90.49,T,90.00
R1,122.43,-79.56,T,90.00
RN1,112.07,-86.79,T,90.00
RN2,117.04,-86.79,T,90.00
RN3,127.70,-86.79,T,90.00
RN4,132.66,-86.79,T,90.00
U1,114.55,-81.41,T,90.00
U2,130.18,-81.41,T,90.00
