Designator,Mid X,Mid Y,Layer,Rotation
C1,117.75,-66.75,T,90.00
C2,120.25,-73.75,T,90.00
C3,121.75,-73.75,T,90.00
J1,110.00,-70.00,T,270.00
J2,141.90,-70.00,T,90.00
J3,116.50,-63.65,B,270.00
J4,116.50,-76.35,B,270.00
J5,135.00,-74.50,T,0.00
J6,141.90,-63.65,B,270.00
J7,141.90,-76.35,B,270.00
Q1,117.75,-73.75,T,270.00
R1,116.25,-66.75,T,270.00
R2,119.25,-66.75,T,90.00
R3,120.75,-66.75,T,270.00
R4,123.75,-67.75,T,90.00
R5,125.25,-67.75,T,90.00
R6,126.75,-67.75,T,90.00
R7,128.25,-67.75,T,90.00
R8,123.75,-70.75,T,90.00
R9,125.25,-70.75,T,90.00
R10,126.75,-70.75,T,90.00
R11,128.25,-70.75,T,90.00
SW2,134.65,-64.75,T,180.00
U1,117.47,-70.00,T,270.00
