Designator,Mid X,Mid Y,Layer,Rotation
C0,109.00,-72.00,T,270.00
C1,110.50,-72.00,T,270.00
C2,116.00,-68.50,T,90.00
C3,117.50,-68.50,T,90.00
C4,109.00,-70.00,B,270.00
C5,117.00,-68.50,B,90.00
C6,117.00,-72.00,B,270.00
C7,116.00,-72.00,T,270.00
J1,105.00,-66.20,B,180.00
J2,122.78,-66.20,B,180.00
L1,118.25,-72.00,T,90.00
L2,114.50,-72.00,B,90.00
LED1,119.00,-68.50,T,270.00
LED2,120.00,-72.00,B,270.00
R1,110.50,-68.50,T,90.00
R2,109.00,-68.50,T,270.00
R3,120.50,-68.50,T,270.00
R4,115.50,-68.50,B,270.00
R5,114.00,-68.50,B,90.00
R6,118.50,-72.00,B,90.00
U1,113.25,-70.00,T,270.00
U2,111.50,-70.00,B,90.00
