Designator,Mid X,Mid Y,Layer,Rotation
C1,133.50,-136.05,T,270.00
C2,138.25,-122.00,T,180.00
J1,144.50,-136.25,T,90.00
J2,140.00,-116.00,T,180.00
J3,133.65,-120.50,B,180.00
J4,146.35,-120.50,B,180.00
J5,140.00,-142.50,T,0.00
LED1,140.00,-120.25,T,180.00
LED2,138.50,-131.50,T,90.00
LED3,140.00,-131.50,T,90.00
LED4,141.50,-131.50,T,90.00
Q1,143.00,-124.50,T,0.00
R1,140.00,-124.50,T,270.00
R2,134.50,-131.50,T,90.00
R3,133.00,-131.50,T,90.00
R4,141.75,-122.00,T,0.00
RN1,140.00,-128.00,T,90.00
U1,137.25,-136.00,T,0.00
U2,137.00,-124.50,T,0.00
