Comment,Designator,Footprint,LCSC
5K1,"R4,R5,R12,R13",Resistor_SMD:R_0402_1005Metric,C25905
Conn_01x01,"J101,J201,J301",custom:PinHeader_1x01_P2.54mm_simple,
10K,"R8,R9,R10,R11",Resistor_SMD:R_0402_1005Metric,C25744
Boost,LED3,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
USB_C_Receptacle_PowerOnly_6P,J1,custom:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal_handsolder,
SS34,"D1,D2",custom:D_SMA_simple,C8678
0.1uF,C3,Capacitor_SMD:C_0402_1005Metric,C1525
75K,R3,Resistor_SMD:R_0402_1005Metric,C25798
AO3401A,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C15127
XB5350D0,U2,custom:SOT-23-5_simple,C2760002
1K2,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17379
10uF,"C1,C2,C4",Capacitor_SMD:C_0603_1608Metric,C19702
Conn_01x01,"J102,J202,J302",custom:PinHeader_1x01_P2.54mm_simple_square,
100R,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
SW_SPDT,SW1,custom:SW-TH_DEALON_SS-12D01-GX_simple,C2998803
TP4056,U1,custom:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias_CustomVias_Large,C16581
Done,LED2,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
MT3608,U3,Package_TO_SOT_SMD:SOT-23-6,C84817
Battery_Cell,BT1,custom:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical_simple_pad2gnd,
USB_C_Receptacle_PowerOnly_6P,J0,custom:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal_handsolder,
22K,"R6,R7",Resistor_SMD:R_0402_1005Metric,C25768
22uH,L1,lcsc:IND-SMD_L7.0-W6.6,C5832376
Charge,LED1,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
10uF,C5,Capacitor_SMD:C_0402_1005Metric,C15525
