Comment,Designator,Footprint,LCSC
Conn_01x01,"J2,J4,J6",custom:PinHeader_1x01_P2.54mm_simple_square,
5K1,RN2,Resistor_SMD:R_Array_Convex_4x0603,
SS34,D3,custom:D_SMA_simple,C8678
0.1uF,C3,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
10K,RN1,Resistor_SMD:R_Array_Convex_4x0603,C29718
XB5350D0,U2,custom:SOT-23-5_simple,C2760002
AO3401A,Q1,Package_TO_SOT_SMD:SOT-23,C15127
1K2,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17379
10uF,"C1,C2",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
100R,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
TP4056,U1,custom:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias_CustomVias,C16581
Conn_01x01,"J1,J3,J5",custom:PinHeader_1x01_P2.54mm_simple,
Done,LED2,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
Battery_Cell,BT1,custom:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical_simple,
USB_C_Receptacle_PowerOnly_6P,J0,custom:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal_handsolder,
Charge,LED1,custom:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_simple,
