Designator,Mid X,Mid Y,Layer,Rotation
C1,116.28,-60.16,T,180.00
C2,116.28,-61.66,T,180.00
C3,116.28,-63.16,T,180.00
C4,116.28,-68.41,T,0.00
C5,112.53,-68.91,T,180.00
C6,112.53,-70.91,T,180.00
C7,86.75,-73.25,T,0.00
C8,106.00,-70.25,T,180.00
C9,98.25,-74.25,T,180.00
C10,101.75,-74.25,T,180.00
C11,87.00,-61.00,T,180.00
J1,94.50,-84.50,T,0.00
J2,105.50,-84.50,T,0.00
J3,116.50,-80.00,T,90.00
J4,83.50,-80.00,T,270.00
J7,100.00,-57.00,T,0.00
L1,116.28,-70.66,T,180.00
LED0,110.25,-51.00,T,0.00
LED1,87.75,-87.50,T,90.00
LED2,112.25,-87.50,T,90.00
LED3,90.75,-51.00,T,0.00
Q1,117.50,-74.25,T,0.00
Q2,86.75,-67.00,T,90.00
R1,110.25,-53.25,T,180.00
R2,116.28,-58.66,T,180.00
R3,112.28,-65.66,T,180.00
R4,112.28,-63.91,T,0.00
R5,107.75,-68.75,T,180.00
R6,104.25,-68.75,T,0.00
R7,82.50,-66.75,T,0.00
R8,82.50,-68.50,T,0.00
RN1,86.75,-70.50,T,180.00
RN2,100.00,-77.00,T,90.00
RN3,93.50,-57.25,T,0.00
SM1,100.00,-59.00,B,180.00
SR1,106.00,-66.00,T,180.00
SR2,94.00,-77.00,T,180.00
SR3,106.00,-77.00,T,0.00
U1,116.37,-65.75,T,180.00
U2,96.64,-68.47,T,90.00
U3,82.00,-74.00,T,0.00
