Designator,Mid X,Mid Y,Layer,Rotation
C1,100.00,-43.50,T,270.00
C2,98.50,-43.50,T,270.00
C3,101.25,-43.50,T,270.00
C4,105.75,-43.25,T,90.00
C5,103.25,-47.50,T,270.00
C6,105.25,-47.50,T,270.00
C7,92.50,-40.75,T,270.00
C8,114.75,-40.25,T,90.00
C9,116.25,-40.25,T,90.00
C10,115.00,-43.50,T,270.00
C11,119.50,-43.75,T,90.00
C12,120.75,-47.75,T,270.00
C13,119.25,-47.75,T,270.00
C14,126.50,-45.00,T,270.00
C15,109.00,-24.75,B,180.00
C16,108.70,-40.25,B,180.00
D1,111.75,-36.75,T,0.00
D2,100.50,-24.25,T,0.00
D3,120.00,-37.00,T,90.00
F1,100.00,-39.25,T,0.00
J0,101.75,-30.50,T,270.00
J1,121.50,-33.50,T,180.00
J2,150.70,-31.00,T,90.00
J3,150.70,-41.00,T,90.00
J4,137.00,-25.25,T,180.00
J5,150.70,-36.00,B,270.00
L1,110.00,-44.50,T,270.00
L2,121.25,-43.75,T,270.00
LED1,99.00,-51.00,T,180.00
LED2,95.50,-51.00,T,180.00
M1,113.00,-33.75,T,180.00
PIX1,104.75,-50.50,T,0.00
PIX2,110.00,-50.50,T,0.00
PIX3,115.25,-50.50,T,0.00
PIX4,120.50,-50.50,T,0.00
PIX5,125.75,-50.50,T,0.00
Q1,133.00,-33.50,T,180.00
Q3,122.75,-37.00,T,0.00
R0,99.00,-49.50,T,0.00
R1,101.00,-46.75,T,270.00
R2,99.50,-46.75,T,90.00
R3,95.50,-49.50,T,0.00
R4,116.25,-47.75,T,270.00
R6,114.75,-47.75,T,270.00
R7,117.75,-47.75,T,90.00
R12,118.50,-37.00,T,90.00
RN1,137.00,-33.50,T,90.00
RN2,141.00,-33.50,T,90.00
SM1,137.00,-30.50,B,180.00
U1,103.50,-43.50,T,270.00
U2,117.25,-44.00,T,270.00
U4,138.50,-37.75,T,90.00
U5,135.50,-37.75,T,90.00
