Designator,Mid X,Mid Y,Layer,Rotation
C1,153.00,-87.00,T,270.00
C2,151.25,-90.75,T,270.00
C3,129.00,-98.50,T,270.00
C4,153.00,-90.75,T,270.00
C5,165.00,-82.25,T,90.00
C6,200.50,-87.28,T,270.00
C7,146.50,-71.25,T,270.00
C8,146.50,-108.00,T,270.00
C10,206.00,-73.25,T,270.00
C11,207.50,-73.25,T,270.00
C12,209.00,-73.25,T,270.00
C13,214.50,-73.25,T,90.00
C14,216.00,-76.75,T,270.00
C15,217.50,-76.75,T,270.00
C16,200.50,-71.25,T,270.00
C19,208.75,-102.00,T,90.00
C20,196.75,-102.00,T,90.00
C21,184.75,-102.00,T,90.00
C22,172.75,-102.00,T,90.00
D0,200.25,-63.00,T,270.00
D1,154.50,-95.00,T,90.00
D2,156.50,-95.00,T,90.00
D3,174.75,-73.50,T,90.00
D4,177.25,-73.50,T,90.00
D5,165.75,-73.50,T,90.00
D6,168.25,-73.50,T,90.00
F1,206.25,-69.00,T,270.00
J0,210.00,-65.00,T,180.00
J1,141.00,-56.50,T,180.00
J2,189.00,-60.50,T,0.00
J3,177.00,-60.50,T,0.00
J4,165.00,-60.50,T,0.00
J5,153.00,-60.50,T,0.00
J6,210.00,-113.50,T,180.00
J7,198.00,-113.50,T,180.00
J8,186.00,-113.50,T,180.00
J9,174.00,-113.50,T,180.00
J10,125.50,-109.50,T,270.00
J11,216.75,-87.00,T,90.00
J12,125.50,-63.75,T,270.00
J13,132.50,-63.75,T,270.00
J14,136.00,-104.45,T,0.00
J15,206.75,-84.44,T,0.00
J16,219.75,-96.76,T,0.00
L1,216.75,-73.25,T,270.00
LED0,200.50,-55.00,T,0.00
LED1,160.25,-119.00,T,180.00
LED2,157.25,-119.00,T,180.00
LED3,151.25,-119.00,T,180.00
LED4,154.25,-119.00,T,180.00
LED5,190.00,-69.00,T,270.00
LED6,178.00,-69.00,T,270.00
LED7,166.00,-69.00,T,270.00
LED8,154.00,-69.00,T,270.00
LED9,188.00,-69.00,T,270.00
LED10,176.00,-69.00,T,270.00
LED11,164.00,-69.00,T,270.00
LED12,152.00,-69.00,T,270.00
LED13,157.75,-82.25,T,270.00
LED14,207.25,-105.25,T,270.00
LED15,195.00,-105.25,T,270.00
LED16,183.00,-105.25,T,270.00
LED17,171.00,-105.25,T,270.00
PIX1,130.95,-118.50,T,0.00
PIX2,136.20,-118.50,T,0.00
PIX3,141.45,-118.50,T,0.00
PIX4,146.70,-118.50,T,0.00
Q1,158.75,-95.00,T,270.00
Q2,160.50,-82.25,T,270.00
Q3,211.50,-101.75,T,0.00
Q4,199.50,-101.75,T,0.00
Q5,187.50,-101.75,T,0.00
Q6,175.50,-101.75,T,0.00
Q7,153.50,-114.50,T,270.00
Q8,155.75,-114.50,T,270.00
Q9,158.00,-114.50,T,270.00
Q10,211.50,-105.25,T,180.00
Q11,199.50,-105.25,T,180.00
Q12,187.50,-105.25,T,180.00
Q13,175.50,-105.25,T,180.00
Q14,161.75,-95.00,T,90.00
R1,139.00,-65.00,T,90.00
R2,143.00,-65.00,T,90.00
R3,206.00,-76.75,T,270.00
R4,202.75,-63.00,T,270.00
R5,214.50,-113.75,T,270.00
R6,202.50,-113.67,T,270.00
R7,190.50,-113.67,T,270.00
R8,209.00,-76.75,T,270.00
R9,207.50,-76.75,T,90.00
R10,149.00,-95.00,T,90.00
R11,150.75,-95.00,T,90.00
R12,202.75,-103.00,T,270.00
R13,178.75,-103.00,T,270.00
R14,214.75,-103.00,T,270.00
R15,190.75,-103.00,T,270.00
R16,156.00,-82.25,T,270.00
R17,178.50,-113.75,T,270.00
R18,208.75,-105.25,T,90.00
R19,196.75,-105.25,T,90.00
R20,184.75,-105.25,T,90.00
R21,163.25,-82.25,T,90.00
R22,172.75,-105.25,T,90.00
R23,152.50,-95.00,T,90.00
RN1,153.25,-110.00,T,90.00
RN2,158.00,-110.00,T,90.00
RN3,156.50,-88.90,T,90.00
RN4,161.00,-88.90,T,90.00
RN5,183.00,-68.75,T,90.00
RN6,159.00,-68.75,T,90.00
SM1,135.00,-87.00,T,90.00
SW1,165.00,-118.00,T,0.00
SW2,165.00,-109.75,T,90.00
U1,141.00,-65.00,T,270.00
U2,150.50,-87.00,T,270.00
U3,211.75,-74.75,T,270.00
U4,183.50,-73.50,T,270.00
U5,159.50,-73.50,T,270.00
U6,187.00,-73.50,T,270.00
U7,180.00,-73.50,T,270.00
U8,163.00,-73.50,T,270.00
U9,156.00,-73.50,T,270.00
U10,146.50,-87.00,T,90.00
U11,144.00,-87.00,T,270.00
U12,172.00,-84.50,T,270.00
U13,172.00,-93.50,T,90.00
