Designator,Mid X,Mid Y,Layer,Rotation
C1,104.75,-39.50,T,90.00
C2,103.25,-39.50,T,90.00
C3,101.75,-39.50,T,90.00
C4,96.25,-39.50,T,270.00
C5,94.75,-36.00,T,90.00
C6,93.25,-36.00,T,90.00
C7,137.00,-41.00,T,90.00
C8,138.50,-41.00,T,90.00
C9,111.75,-28.00,T,270.00
C10,120.75,-30.50,T,270.00
C11,110.25,-42.25,T,270.00
C12,110.50,-21.00,T,0.00
D1,111.25,-34.50,T,270.00
F1,108.50,-34.50,T,270.00
J0,101.25,-32.00,T,180.00
J1,140.75,-23.50,B,0.00
J2,152.50,-29.50,T,90.00
J3,148.00,-39.25,T,90.00
J4,140.75,-23.50,T,180.00
J5,123.00,-23.50,T,180.00
J6,95.25,-37.50,B,90.00
L1,94.00,-39.50,T,90.00
LED0,132.75,-49.00,T,180.00
LED1,113.25,-49.00,T,180.00
PIX1,99.00,-48.50,T,0.00
PIX2,104.00,-48.50,T,0.00
PIX3,109.00,-48.50,T,0.00
PIX4,137.00,-48.50,T,0.00
PIX5,142.00,-48.50,T,0.00
PIX6,147.00,-48.50,T,0.00
Q1,144.75,-31.75,T,0.00
Q2,127.00,-31.50,T,180.00
R0,132.75,-47.75,T,0.00
R1,101.75,-36.00,T,90.00
R2,103.25,-36.00,T,270.00
R3,104.75,-36.00,T,90.00
R4,148.00,-33.75,T,270.00
R5,147.00,-33.75,T,270.00
R6,111.75,-26.00,T,270.00
R7,111.75,-30.00,T,90.00
R8,113.25,-47.75,T,0.00
RN1,123.50,-31.50,T,90.00
RN2,141.25,-41.00,T,270.00
SM1,123.00,-27.00,B,180.00
SR1,109.25,-28.00,T,270.00
SW1,120.50,-46.25,T,90.00
U1,99.00,-38.00,T,90.00
U2,118.50,-31.75,T,90.00
