Designator,Mid X,Mid Y,Layer,Rotation
C0,123.75,-46.25,T,0.00
C1,106.25,-42.78,T,90.00
C2,104.75,-42.78,T,90.00
C3,103.50,-43.00,T,90.00
C4,99.00,-43.00,T,270.00
C5,99.50,-39.25,T,270.00
C6,90.25,-43.75,T,270.00
C7,90.25,-39.75,T,90.00
D1,112.50,-38.50,T,180.00
F1,103.75,-48.00,T,180.00
J0,112.00,-41.25,T,0.00
J1,119.50,-25.50,T,180.00
J2,105.25,-25.50,T,180.00
J3,135.00,-23.50,T,180.00
J5,148.75,-31.50,T,90.00
J6,93.50,-31.50,T,270.00
J8,150.50,-41.00,T,90.00
L1,94.75,-41.75,T,90.00
LED1,135.00,-30.00,T,0.00
LED2,102.75,-50.50,T,0.00
LED3,100.00,-49.75,T,90.00
Q1,119.50,-33.75,T,0.00
Q2,109.00,-33.75,T,0.00
Q3,102.00,-33.75,T,0.00
R1,101.25,-39.25,T,90.00
R2,103.00,-39.25,T,270.00
R3,135.00,-31.25,T,0.00
R4,104.75,-50.50,T,0.00
R5,143.75,-43.00,T,0.00
R6,100.00,-47.75,T,90.00
R7,135.00,-39.75,T,270.00
RN1,135.00,-35.25,T,90.00
SM1,135.00,-30.50,B,180.00
SW1,144.75,-47.50,T,90.00
SW2,131.25,-32.00,T,90.00
SW3,138.75,-32.00,T,270.00
SW4,131.25,-38.50,T,90.00
SW5,138.75,-38.50,T,270.00
U1,101.25,-43.00,T,90.00
U2,129.35,-28.00,T,270.00
U3,123.75,-39.00,T,270.00
U4,119.75,-39.00,T,270.00
U5,96.79,-47.23,T,0.00
U6,131.45,-28.00,T,90.00
U7,123.00,-33.75,T,270.00
U8,112.50,-33.75,T,270.00
U9,105.50,-33.75,T,270.00
