Designator,Mid X,Mid Y,Layer,Rotation
C1,72.25,-35.50,T,270.00
C2,76.75,-35.50,T,90.00
C3,59.50,-42.75,T,270.00
J1,74.50,-23.50,T,180.00
J2,22.06,-27.12,T,0.00
J3,84.00,-27.12,T,0.00
LED0,40.00,-27.00,T,0.00
LED1,40.00,-28.50,T,0.00
LED2,40.00,-30.00,T,0.00
LED3,40.00,-31.50,T,0.00
LED4,40.00,-33.00,T,0.00
LED5,40.00,-34.50,T,0.00
LED6,40.00,-36.00,T,0.00
LED7,40.00,-37.50,T,0.00
LED8,66.00,-27.00,T,180.00
LED9,66.00,-28.50,T,180.00
LED10,66.00,-30.00,T,180.00
LED11,66.00,-31.50,T,180.00
LED12,66.00,-33.00,T,180.00
LED13,66.00,-34.50,T,180.00
LED14,66.00,-36.00,T,180.00
LED15,66.00,-37.50,T,180.00
LED16,66.00,-39.00,T,180.00
PIX1,74.00,-46.75,T,0.00
Q1,74.00,-42.25,T,270.00
R1,76.50,-30.50,T,270.00
R2,72.50,-30.50,T,270.00
R3,70.00,-32.75,T,0.00
R4,72.00,-42.25,T,270.00
R5,76.00,-42.25,T,270.00
RN2,53.00,-46.45,T,270.00
RN3,36.00,-30.75,T,0.00
RN4,36.00,-36.75,T,0.00
RN5,70.00,-30.75,T,180.00
RN6,70.00,-36.75,T,180.00
SM1,53.00,-33.00,T,0.00
SW1,56.25,-42.75,T,0.00
SW2,49.75,-42.75,T,0.00
U1,74.50,-35.50,T,270.00
U2,74.50,-30.50,T,270.00
