Comment,Designator,Footprint,LCSC
51R,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10",Resistor_SMD:R_1206_3216Metric,C149687
PJ-327U,J1,connector:Jack_3.5mm_PJ-327U-SMT_Horizontal_EdgeCut,C397453
1N4148WS,D1,package:D_SOD-323,
SW_SPDT_MountingPin,SW1,electromechanical:SW_Slide_SPDT_Straight_CK_OS102011MS2Q,
DMG6968U,Q3,Package_TO_SOT_SMD:SOT-23,C150759
1K,"R11,R12,R13,R15",Resistor_SMD:R_0402_1005Metric,
DY-IR333-A,"LED7,LED8,LED9,LED10",LED_THT:LED_D5.0mm_IRGrey,C396674
DMP1045U,Q2,Package_TO_SOT_SMD:SOT-23,C177033
100u,C1,Capacitor_SMD:CP_Elec_5x5.4,
G2N7002X,Q1,package:SOT-523,C5258971
DY-IRMHA384,U1,package:IRM_5.0mmx4.2mm_P1.27mm_Horizontal,C6071554
XL-1606SURC,LED11,discrete:LED_SideEmitter_1.7x1.1mm,C965860
100R,R14,Resistor_SMD:R_0603_1608Metric,
5K1,"R0,R16",Resistor_SMD:R_0402_1005Metric,
XYC-IR26C-LX4,"LED1,LED2,LED3,LED4,LED5,LED6",discrete:LED_IR_SideEmitter_1206_3216Metric,C396674
XL-1606UBC,LED0,discrete:LED_SideEmitter_1.7x1.1mm,C965865
Warm White,LED12,discrete:LED_0603_1608Metric,
1u,C2,discrete:C_0402_1005Metric,
