Designator,Mid X,Mid Y,Layer,Rotation
C1,36.00,-42.75,T,90.00
C2,38.00,-46.25,T,0.00
D1,40.00,-40.75,T,270.00
J1,36.00,-28.00,T,0.00
LED0,40.00,-51.00,T,180.00
LED1,43.75,-22.00,T,0.00
LED2,50.00,-36.00,T,270.00
LED3,43.75,-50.00,T,180.00
LED4,28.25,-50.00,T,180.00
LED5,22.00,-36.00,T,90.00
LED6,28.25,-22.00,T,0.00
LED7,44.00,-29.00,T,0.00
LED8,44.00,-43.00,T,0.00
LED9,28.00,-43.00,T,180.00
LED10,28.00,-29.00,T,180.00
LED11,32.00,-51.00,T,180.00
LED12,32.00,-43.75,T,90.00
Q1,40.00,-45.00,T,270.00
Q2,27.00,-36.00,T,270.00
Q3,43.50,-36.50,T,90.00
R0,40.00,-49.75,T,0.00
R1,43.75,-24.00,T,0.00
R2,48.00,-36.00,T,270.00
R3,43.75,-48.00,T,180.00
R4,28.25,-48.00,T,180.00
R5,24.00,-36.00,T,90.00
R6,28.25,-24.00,T,0.00
R7,49.75,-29.00,T,270.00
R8,49.75,-43.00,T,270.00
R9,22.25,-43.00,T,270.00
R10,22.25,-29.00,T,270.00
R11,40.00,-48.50,T,0.00
R12,40.00,-43.00,T,0.00
R13,43.60,-39.00,T,180.00
R14,29.50,-36.00,T,90.00
R15,32.00,-49.75,T,180.00
R16,32.00,-41.00,T,90.00
SW1,38.00,-36.50,T,180.00
U1,36.00,-47.75,T,0.00
