Designator,Mid X,Mid Y,Layer,Rotation
C1,38.25,-30.75,T,90.00
C2,33.75,-30.75,T,270.00
J1,36.00,-23.50,T,180.00
J2,27.11,-29.75,T,0.00
J3,44.89,-29.75,T,0.00
LED1,30.50,-34.83,T,180.00
LED2,30.50,-37.37,T,180.00
LED3,30.50,-39.91,T,180.00
LED4,30.50,-42.45,T,180.00
LED5,41.50,-34.83,T,0.00
LED6,41.50,-37.37,T,0.00
LED7,41.50,-39.91,T,0.00
LED8,41.50,-42.45,T,0.00
Q1,36.00,-40.25,T,90.00
Q2,41.75,-50.00,T,90.00
R1,29.50,-26.00,T,270.00
R2,42.50,-26.00,T,270.00
R3,34.25,-40.24,T,90.00
R4,37.75,-40.24,T,90.00
R5,43.50,-49.99,T,270.00
RN1,28.00,-47.00,T,90.00
RN2,44.00,-47.00,T,90.00
RN3,30.75,-47.00,T,90.00
RN4,41.25,-47.00,T,90.00
SW1,36.00,-49.65,T,0.00
U1,36.00,-30.75,T,90.00
U2,36.00,-37.05,T,0.00
U3,36.00,-43.75,T,270.00
