Designator,Mid X,Mid Y,Layer,Rotation
J1,55.50,-43.62,T,180.00
J2,84.50,-43.62,T,180.00
J3,78.91,-30.92,T,270.00
J6,64.50,-23.50,B,0.00
J7,75.50,-23.50,B,0.00
LED1,61.11,-35.75,T,180.00
LED2,63.65,-35.75,T,180.00
LED3,66.19,-35.75,T,180.00
LED4,68.73,-35.75,T,180.00
LED5,71.27,-35.75,T,180.00
LED6,73.81,-35.75,T,180.00
LED7,76.35,-35.75,T,180.00
LED8,78.89,-35.75,T,180.00
Q1,80.75,-38.75,T,270.00
R1,81.50,-35.75,T,180.00
RN0,62.50,-24.75,T,90.00
RN1,59.25,-42.25,T,90.00
RN2,80.75,-42.25,T,90.00
RN3,59.25,-44.50,T,270.00
RN4,80.75,-44.50,T,270.00
SW0,70.00,-49.60,T,0.00
SW1,62.80,-50.00,T,0.00
SW2,64.00,-39.25,T,180.00
SW3,64.00,-44.25,T,0.00
SW4,70.00,-39.25,T,180.00
SW5,70.00,-44.25,T,0.00
SW6,76.00,-39.25,T,180.00
SW7,76.00,-44.25,T,0.00
SW8,77.20,-50.00,T,0.00
U1,70.00,-24.50,T,90.00
