Designator,Mid X,Mid Y,Layer,Rotation
BT1,172.00,-70.00,B,180.00
C1,177.50,-63.50,T,90.00
C2,169.75,-67.25,T,270.00
C3,172.75,-63.50,T,90.00
C4,152.00,-75.25,T,90.00
C5,205.75,-62.25,T,270.00
C6,138.50,-75.25,T,270.00
C7,201.50,-66.00,T,90.00
C8,131.50,-61.25,T,90.00
C9,212.50,-61.00,T,90.00
D1,207.75,-62.25,T,270.00
D2,130.75,-67.90,T,270.00
D3,146.75,-75.25,T,270.00
D4,213.25,-71.85,T,90.00
D5,203.50,-77.00,T,90.00
D6,205.25,-77.01,T,90.00
J1,125.50,-70.00,T,270.00
J2,218.50,-70.00,T,90.00
J3,132.00,-82.50,T,0.00
J4,173.50,-80.50,T,0.00
J5,200.00,-82.50,T,0.00
J6,165.75,-82.50,T,0.00
L1,175.25,-63.50,T,90.00
L2,207.75,-66.00,T,90.00
LED1,172.00,-55.00,T,0.00
LED2,208.00,-55.00,T,0.00
LED3,180.00,-85.00,T,180.00
LED4,139.50,-55.00,T,0.00
LED5,198.00,-82.00,B,180.00
LED6,146.00,-58.00,B,180.00
Q1,195.75,-66.00,T,270.00
Q2,144.00,-75.25,T,90.00
Q3,211.25,-77.00,T,270.00
Q4,139.50,-60.50,T,90.00
Q5,172.00,-60.25,T,90.00
R1,165.00,-70.50,T,270.00
R2,166.75,-70.50,T,90.00
R3,208.00,-56.50,T,0.00
R4,165.75,-63.50,T,90.00
R5,164.00,-63.50,T,90.00
R6,135.00,-75.25,T,270.00
R7,136.75,-75.25,T,270.00
R8,193.19,-66.00,T,270.00
R9,202.25,-62.25,T,90.00
R10,204.00,-62.25,T,270.00
R11,180.00,-83.50,T,0.00
R12,148.50,-75.25,T,90.00
R13,150.25,-75.25,T,90.00
R14,139.50,-56.50,T,0.00
R15,172.00,-56.50,T,180.00
R16,127.25,-63.00,T,90.00
R17,125.50,-63.00,T,90.00
R18,206.93,-77.01,T,90.00
R19,208.75,-77.00,T,90.00
R20,204.00,-81.25,T,90.00
R21,146.75,-57.25,T,270.00
R22,218.25,-63.00,T,270.00
R23,216.50,-63.00,T,270.00
SW1,201.00,-56.50,T,180.00
SW2,143.00,-83.50,T,0.00
SW3,211.25,-83.50,T,0.00
U1,169.50,-63.50,T,180.00
U2,154.75,-75.25,T,270.00
U3,140.75,-75.25,T,270.00
U4,204.25,-66.00,T,270.00
